Date,State,Disease,Disease_Count,Year,Month,Season
2023-07-15,Telangana,Eye Infection,17,2023,7,Summer
2023-01-08,Andhra Pradesh,Cough,34,2023,1,Winter
2022-01-24,Delhi,Cough,34,2022,1,Winter
2018-07-26,Delhi,Cough,25,2018,7,Summer
2016-10-17,Andhra Pradesh,Dengue,22,2016,10,Autumn
2016-04-04,Karnataka,Skin Rash,14,2016,4,Spring
2022-07-21,Andhra Pradesh,Cough,33,2022,7,Summer
2022-07-05,Telangana,Cough,10,2022,7,Summer
2017-10-17,Delhi,Cough,21,2017,10,Autumn
2017-01-02,Andhra Pradesh,Skin Rash,18,2017,1,Winter
2023-04-08,Karnataka,Fever,14,2023,4,Spring
2022-01-23,Telangana,Cold,36,2022,1,Winter
2024-10-27,Andhra Pradesh,Fever,19,2024,10,Autumn
2024-01-01,Karnataka,Cold,9,2024,1,Winter
2020-04-05,Telangana,Headache,21,2020,4,Spring
2023-10-27,Delhi,Diarrhea,16,2023,10,Autumn
2019-10-13,Telangana,Fever,22,2019,10,Autumn
2019-04-24,Andhra Pradesh,Skin Rash,20,2019,4,Spring
2024-04-19,Andhra Pradesh,Dengue,22,2024,4,Spring
2024-01-23,Karnataka,Cough,11,2024,1,Winter
2023-01-15,Delhi,Eye Infection,25,2023,1,Winter
2017-10-19,Karnataka,Dengue,13,2017,10,Autumn
2022-04-18,Karnataka,Diarrhea,3,2022,4,Spring
2018-04-28,Karnataka,Fever,16,2018,4,Spring
2024-10-04,Andhra Pradesh,Skin Rash,20,2024,10,Autumn
2020-01-02,Delhi,Dengue,25,2020,1,Winter
2016-10-08,Delhi,Headache,10,2016,10,Autumn
2020-07-07,Karnataka,Fever,20,2020,7,Summer
2024-10-16,Andhra Pradesh,Headache,26,2024,10,Autumn
2019-01-10,Andhra Pradesh,Malaria,25,2019,1,Winter
2023-07-19,Andhra Pradesh,Eye Infection,21,2023,7,Summer
2019-01-18,Delhi,Dengue,23,2019,1,Winter
2021-10-05,Karnataka,Headache,12,2021,10,Autumn
2016-01-03,Telangana,Headache,29,2016,1,Winter
2018-10-27,Andhra Pradesh,Allergy,25,2018,10,Autumn
2019-10-08,Telangana,Headache,24,2019,10,Autumn
2022-07-22,Andhra Pradesh,Headache,33,2022,7,Summer
2021-07-04,Andhra Pradesh,Cough,29,2021,7,Summer
2023-10-26,Andhra Pradesh,Cold,26,2023,10,Autumn
2021-04-28,Delhi,Cold,9,2021,4,Spring
2021-01-24,Karnataka,Diarrhea,2,2021,1,Winter
2020-04-18,Karnataka,Allergy,23,2020,4,Spring
2017-10-14,Telangana,Fever,19,2017,10,Autumn
2017-10-18,Telangana,Malaria,9,2017,10,Autumn
2019-01-26,Andhra Pradesh,Eye Infection,17,2019,1,Winter
2018-04-24,Telangana,Malaria,10,2018,4,Spring
2024-01-10,Karnataka,Headache,6,2024,1,Winter
2017-10-28,Andhra Pradesh,Cold,15,2017,10,Autumn
2019-07-10,Delhi,Headache,11,2019,7,Summer
2022-01-07,Telangana,Dengue,22,2022,1,Winter
2023-01-16,Delhi,Cold,24,2023,1,Winter
2023-10-11,Delhi,Cold,17,2023,10,Autumn
2023-01-17,Andhra Pradesh,Fever,24,2023,1,Winter
2023-07-10,Telangana,Cold,29,2023,7,Summer
2016-01-04,Delhi,Eye Infection,27,2016,1,Winter
2021-07-06,Delhi,Malaria,11,2021,7,Summer
2021-10-23,Andhra Pradesh,Allergy,28,2021,10,Autumn
2018-07-01,Delhi,Diarrhea,13,2018,7,Summer
2018-04-09,Karnataka,Allergy,17,2018,4,Spring
2018-10-13,Delhi,Fever,17,2018,10,Autumn
2017-01-22,Telangana,Headache,22,2017,1,Winter
2017-10-24,Andhra Pradesh,Allergy,26,2017,10,Autumn
2020-10-04,Delhi,Malaria,10,2020,10,Autumn
2023-10-14,Karnataka,Dengue,5,2023,10,Autumn
2023-10-06,Karnataka,Headache,7,2023,10,Autumn
2018-01-19,Karnataka,Cough,15,2018,1,Winter
2024-07-21,Telangana,Fever,19,2024,7,Summer
2016-10-04,Karnataka,Malaria,10,2016,10,Autumn
2020-01-14,Andhra Pradesh,Fever,20,2020,1,Winter
2024-01-18,Andhra Pradesh,Skin Rash,21,2024,1,Winter
2021-10-24,Telangana,Dengue,19,2021,10,Autumn
2019-04-07,Karnataka,Dengue,11,2019,4,Spring
2017-01-18,Andhra Pradesh,Cold,22,2017,1,Winter
2021-10-23,Delhi,Skin Rash,15,2021,10,Autumn
2023-10-13,Andhra Pradesh,Skin Rash,16,2023,10,Autumn
2023-04-14,Telangana,Fever,18,2023,4,Spring
2022-10-04,Andhra Pradesh,Cold,17,2022,10,Autumn
2017-07-26,Delhi,Allergy,24,2017,7,Summer
2020-01-09,Delhi,Dengue,15,2020,1,Winter
2024-01-27,Delhi,Eye Infection,25,2024,1,Winter
2020-04-07,Karnataka,Fever,9,2020,4,Spring
2018-04-28,Telangana,Cough,15,2018,4,Spring
2018-04-11,Andhra Pradesh,Cold,16,2018,4,Spring
2024-10-24,Telangana,Eye Infection,20,2024,10,Autumn
2016-10-16,Andhra Pradesh,Skin Rash,16,2016,10,Autumn
2016-10-03,Telangana,Eye Infection,16,2016,10,Autumn
2021-01-03,Karnataka,Skin Rash,21,2021,1,Winter
2021-10-22,Telangana,Dengue,19,2021,10,Autumn
2020-07-08,Karnataka,Dengue,6,2020,7,Summer
2024-07-02,Telangana,Cold,37,2024,7,Summer
2018-01-20,Delhi,Malaria,14,2018,1,Winter
2017-10-21,Andhra Pradesh,Malaria,25,2017,10,Autumn
2022-07-27,Telangana,Eye Infection,15,2022,7,Summer
2020-10-20,Karnataka,Allergy,24,2020,10,Autumn
2024-04-01,Telangana,Allergy,22,2024,4,Spring
2021-07-17,Andhra Pradesh,Eye Infection,17,2021,7,Summer
2023-01-21,Delhi,Eye Infection,23,2023,1,Winter
2016-01-03,Delhi,Eye Infection,28,2016,1,Winter
2016-07-09,Telangana,Malaria,11,2016,7,Summer
2022-10-01,Delhi,Malaria,10,2022,10,Autumn
2020-04-27,Telangana,Fever,15,2020,4,Spring
2020-04-13,Karnataka,Malaria,8,2020,4,Spring
2019-04-11,Telangana,Headache,19,2019,4,Spring
2016-07-19,Telangana,Skin Rash,20,2016,7,Summer
2020-04-11,Delhi,Headache,12,2020,4,Spring
2016-07-21,Telangana,Dengue,15,2016,7,Summer
2023-01-07,Telangana,Cough,12,2023,1,Winter
2017-04-07,Andhra Pradesh,Diarrhea,4,2017,4,Spring
2024-10-07,Telangana,Dengue,18,2024,10,Autumn
2024-10-24,Andhra Pradesh,Cough,26,2024,10,Autumn
2023-10-19,Andhra Pradesh,Skin Rash,16,2023,10,Autumn
2020-04-10,Karnataka,Fever,13,2020,4,Spring
2020-10-25,Karnataka,Skin Rash,18,2020,10,Autumn
2019-07-09,Delhi,Malaria,10,2019,7,Summer
2016-10-23,Telangana,Dengue,17,2016,10,Autumn
2018-07-21,Andhra Pradesh,Eye Infection,22,2018,7,Summer
2022-10-17,Delhi,Allergy,26,2022,10,Autumn
2024-07-26,Andhra Pradesh,Headache,33,2024,7,Summer
2016-07-08,Telangana,Diarrhea,8,2016,7,Summer
2023-04-17,Delhi,Eye Infection,15,2023,4,Spring
2024-10-28,Karnataka,Cold,7,2024,10,Autumn
2022-10-07,Karnataka,Headache,5,2022,10,Autumn
2024-01-12,Karnataka,Eye Infection,8,2024,1,Winter
2022-07-06,Karnataka,Malaria,8,2022,7,Summer
2016-07-02,Telangana,Diarrhea,16,2016,7,Summer
2022-07-14,Telangana,Eye Infection,19,2022,7,Summer
2021-01-08,Delhi,Malaria,7,2021,1,Winter
2023-07-04,Karnataka,Skin Rash,20,2023,7,Summer
2024-07-20,Telangana,Skin Rash,20,2024,7,Summer
2017-01-09,Karnataka,Diarrhea,3,2017,1,Winter
2023-10-11,Andhra Pradesh,Eye Infection,21,2023,10,Autumn
2024-07-15,Delhi,Allergy,18,2024,7,Summer
2016-07-16,Delhi,Malaria,8,2016,7,Summer
2024-10-02,Delhi,Allergy,22,2024,10,Autumn
2018-10-05,Karnataka,Diarrhea,5,2018,10,Autumn
2022-01-06,Andhra Pradesh,Fever,19,2022,1,Winter
2016-04-16,Delhi,Eye Infection,23,2016,4,Spring
2024-04-22,Telangana,Allergy,16,2024,4,Spring
2022-04-14,Telangana,Allergy,20,2022,4,Spring
2018-07-28,Delhi,Malaria,4,2018,7,Summer
2021-01-06,Andhra Pradesh,Fever,23,2021,1,Winter
2021-10-27,Karnataka,Allergy,26,2021,10,Autumn
2020-10-09,Delhi,Headache,19,2020,10,Autumn
2023-10-28,Delhi,Headache,3,2023,10,Autumn
2024-10-23,Andhra Pradesh,Diarrhea,6,2024,10,Autumn
2019-07-04,Delhi,Headache,11,2019,7,Summer
2022-07-01,Delhi,Cough,31,2022,7,Summer
2016-01-28,Telangana,Eye Infection,25,2016,1,Winter
2016-10-13,Delhi,Allergy,22,2016,10,Autumn
2022-01-20,Karnataka,Diarrhea,10,2022,1,Winter
2020-07-19,Karnataka,Skin Rash,21,2020,7,Summer
2016-04-26,Delhi,Malaria,7,2016,4,Spring
2016-04-06,Karnataka,Fever,12,2016,4,Spring
2021-07-14,Karnataka,Fever,18,2021,7,Summer
2020-07-14,Delhi,Skin Rash,22,2020,7,Summer
2024-01-28,Andhra Pradesh,Eye Infection,28,2024,1,Winter
2022-10-14,Delhi,Cold,19,2022,10,Autumn
2022-10-22,Telangana,Malaria,7,2022,10,Autumn
2022-07-07,Telangana,Cough,5,2022,7,Summer
2016-04-21,Karnataka,Eye Infection,5,2016,4,Spring
2021-07-02,Telangana,Cough,11,2021,7,Summer
2023-10-20,Karnataka,Cough,11,2023,10,Autumn
2023-04-26,Andhra Pradesh,Allergy,23,2023,4,Spring
2022-01-14,Delhi,Eye Infection,26,2022,1,Winter
2021-10-25,Karnataka,Allergy,24,2021,10,Autumn
2017-07-06,Telangana,Dengue,19,2017,7,Summer
2020-01-18,Karnataka,Malaria,13,2020,1,Winter
2019-01-20,Delhi,Fever,21,2019,1,Winter
2019-07-18,Andhra Pradesh,Allergy,31,2019,7,Summer
2022-07-02,Andhra Pradesh,Headache,24,2022,7,Summer
2016-10-08,Delhi,Malaria,7,2016,10,Autumn
2018-10-16,Telangana,Malaria,11,2018,10,Autumn
2022-04-28,Andhra Pradesh,Cough,21,2022,4,Spring
2018-07-19,Karnataka,Eye Infection,9,2018,7,Summer
2023-04-02,Telangana,Malaria,11,2023,4,Spring
2017-07-08,Telangana,Fever,22,2017,7,Summer
2024-01-27,Andhra Pradesh,Cold,25,2024,1,Winter
2016-07-16,Karnataka,Skin Rash,17,2016,7,Summer
2020-04-13,Karnataka,Headache,8,2020,4,Spring
2024-10-18,Andhra Pradesh,Skin Rash,20,2024,10,Autumn
2020-04-14,Delhi,Dengue,16,2020,4,Spring
2018-01-13,Andhra Pradesh,Malaria,27,2018,1,Winter
2016-01-17,Delhi,Allergy,23,2016,1,Winter
2020-07-13,Andhra Pradesh,Skin Rash,17,2020,7,Summer
2023-04-15,Karnataka,Eye Infection,11,2023,4,Spring
2016-04-11,Andhra Pradesh,Cough,25,2016,4,Spring
2022-01-14,Telangana,Skin Rash,17,2022,1,Winter
2018-10-06,Karnataka,Eye Infection,12,2018,10,Autumn
2018-01-19,Andhra Pradesh,Allergy,37,2018,1,Winter
2024-04-15,Telangana,Skin Rash,16,2024,4,Spring
2019-04-08,Karnataka,Allergy,26,2019,4,Spring
2017-07-10,Andhra Pradesh,Cold,20,2017,7,Summer
2017-04-27,Andhra Pradesh,Allergy,25,2017,4,Spring
2019-04-17,Karnataka,Fever,13,2019,4,Spring
2024-10-15,Telangana,Headache,24,2024,10,Autumn
2018-04-26,Karnataka,Eye Infection,4,2018,4,Spring
2020-01-26,Telangana,Eye Infection,25,2020,1,Winter
2021-04-26,Karnataka,Skin Rash,17,2021,4,Spring
2023-01-11,Delhi,Fever,27,2023,1,Winter
2018-07-10,Karnataka,Cold,8,2018,7,Summer
2024-04-12,Delhi,Diarrhea,12,2024,4,Spring
2024-04-26,Andhra Pradesh,Dengue,18,2024,4,Spring
2019-04-23,Karnataka,Cold,7,2019,4,Spring
2020-04-08,Delhi,Malaria,10,2020,4,Spring
2020-01-12,Karnataka,Fever,13,2020,1,Winter
2022-04-05,Andhra Pradesh,Diarrhea,13,2022,4,Spring
2016-10-26,Andhra Pradesh,Diarrhea,9,2016,10,Autumn
2016-07-10,Delhi,Malaria,14,2016,7,Summer
2023-10-24,Delhi,Allergy,17,2023,10,Autumn
2020-01-02,Telangana,Eye Infection,25,2020,1,Winter
2016-07-13,Karnataka,Allergy,34,2016,7,Summer
2017-10-07,Telangana,Eye Infection,18,2017,10,Autumn
2018-01-03,Karnataka,Dengue,13,2018,1,Winter
2016-04-02,Andhra Pradesh,Fever,14,2016,4,Spring
2023-07-25,Karnataka,Allergy,27,2023,7,Summer
2022-10-08,Andhra Pradesh,Allergy,29,2022,10,Autumn
2019-10-01,Telangana,Eye Infection,21,2019,10,Autumn
2023-04-11,Telangana,Eye Infection,16,2023,4,Spring
2019-01-12,Delhi,Malaria,10,2019,1,Winter
2017-04-08,Karnataka,Headache,8,2017,4,Spring
2019-10-03,Andhra Pradesh,Fever,20,2019,10,Autumn
2018-04-28,Andhra Pradesh,Allergy,30,2018,4,Spring
2022-01-21,Andhra Pradesh,Diarrhea,7,2022,1,Winter
2021-04-09,Telangana,Allergy,21,2021,4,Spring
2018-07-12,Andhra Pradesh,Dengue,21,2018,7,Summer
2021-01-16,Telangana,Cold,37,2021,1,Winter
2022-10-01,Andhra Pradesh,Fever,25,2022,10,Autumn
2017-07-16,Telangana,Skin Rash,17,2017,7,Summer
2016-01-21,Telangana,Fever,29,2016,1,Winter
2021-07-20,Andhra Pradesh,Headache,35,2021,7,Summer
2017-10-18,Andhra Pradesh,Fever,16,2017,10,Autumn
2018-01-20,Andhra Pradesh,Fever,27,2018,1,Winter
2019-04-02,Telangana,Allergy,18,2019,4,Spring
2017-04-21,Andhra Pradesh,Malaria,17,2017,4,Spring
2021-07-20,Delhi,Headache,10,2021,7,Summer
2023-01-24,Andhra Pradesh,Dengue,32,2023,1,Winter
2020-01-07,Delhi,Headache,17,2020,1,Winter
2020-04-18,Telangana,Headache,24,2020,4,Spring
2016-07-09,Delhi,Cold,18,2016,7,Summer
2021-07-27,Delhi,Malaria,14,2021,7,Summer
2019-07-17,Karnataka,Headache,14,2019,7,Summer
2021-01-11,Karnataka,Cold,9,2021,1,Winter
2018-01-22,Telangana,Cold,33,2018,1,Winter
2017-07-18,Karnataka,Malaria,8,2017,7,Summer
2024-04-16,Telangana,Fever,17,2024,4,Spring
2016-07-11,Delhi,Fever,19,2016,7,Summer
2021-01-12,Telangana,Dengue,27,2021,1,Winter
2020-01-16,Karnataka,Cold,8,2020,1,Winter
2022-04-16,Andhra Pradesh,Malaria,22,2022,4,Spring
2024-10-25,Delhi,Malaria,7,2024,10,Autumn
2023-07-06,Telangana,Dengue,21,2023,7,Summer
2019-10-28,Telangana,Cold,27,2019,10,Autumn
2017-10-15,Andhra Pradesh,Cold,21,2017,10,Autumn
2017-10-25,Karnataka,Allergy,27,2017,10,Autumn
2024-10-22,Karnataka,Fever,18,2024,10,Autumn
2024-04-16,Andhra Pradesh,Skin Rash,17,2024,4,Spring
2018-07-13,Delhi,Headache,12,2018,7,Summer
2023-04-10,Telangana,Malaria,3,2023,4,Spring
2021-07-05,Telangana,Cough,13,2021,7,Summer
2020-04-05,Andhra Pradesh,Allergy,24,2020,4,Spring
2023-04-02,Telangana,Fever,13,2023,4,Spring
2021-10-27,Andhra Pradesh,Diarrhea,8,2021,10,Autumn
2017-04-27,Telangana,Skin Rash,14,2017,4,Spring
2024-01-04,Andhra Pradesh,Fever,19,2024,1,Winter
2020-07-05,Andhra Pradesh,Eye Infection,21,2020,7,Summer
2022-07-06,Delhi,Skin Rash,20,2022,7,Summer
2021-01-07,Delhi,Headache,12,2021,1,Winter
2023-10-12,Telangana,Cold,30,2023,10,Autumn
2016-10-13,Andhra Pradesh,Fever,19,2016,10,Autumn
2022-04-04,Telangana,Cough,8,2022,4,Spring
2018-10-24,Andhra Pradesh,Diarrhea,8,2018,10,Autumn
2018-01-21,Delhi,Eye Infection,26,2018,1,Winter
2022-01-05,Telangana,Skin Rash,20,2022,1,Winter
2024-10-12,Andhra Pradesh,Allergy,29,2024,10,Autumn
2020-04-12,Telangana,Fever,22,2020,4,Spring
2019-10-09,Karnataka,Malaria,11,2019,10,Autumn
2018-01-20,Andhra Pradesh,Malaria,22,2018,1,Winter
2016-01-27,Delhi,Fever,23,2016,1,Winter
2018-10-08,Karnataka,Eye Infection,9,2018,10,Autumn
2017-07-10,Andhra Pradesh,Fever,16,2017,7,Summer
2021-01-18,Telangana,Malaria,13,2021,1,Winter
2021-04-19,Karnataka,Allergy,25,2021,4,Spring
2016-10-08,Andhra Pradesh,Eye Infection,14,2016,10,Autumn
2022-10-15,Karnataka,Cough,7,2022,10,Autumn
2023-01-07,Andhra Pradesh,Malaria,22,2023,1,Winter
2022-07-10,Telangana,Headache,26,2022,7,Summer
2019-10-19,Delhi,Fever,19,2019,10,Autumn
2022-04-05,Andhra Pradesh,Cough,25,2022,4,Spring
2021-07-09,Karnataka,Malaria,11,2021,7,Summer
2017-07-15,Telangana,Allergy,26,2017,7,Summer
2017-10-11,Andhra Pradesh,Cough,27,2017,10,Autumn
2018-07-01,Delhi,Headache,17,2018,7,Summer
2016-01-19,Karnataka,Fever,22,2016,1,Winter
2016-01-22,Karnataka,Cough,17,2016,1,Winter
2016-07-13,Telangana,Diarrhea,6,2016,7,Summer
2017-07-10,Delhi,Fever,18,2017,7,Summer
2023-04-25,Andhra Pradesh,Skin Rash,16,2023,4,Spring
2023-04-23,Delhi,Eye Infection,20,2023,4,Spring
2022-01-15,Telangana,Cold,32,2022,1,Winter
2016-04-01,Karnataka,Fever,12,2016,4,Spring
2022-07-01,Delhi,Skin Rash,18,2022,7,Summer
2017-01-06,Delhi,Cold,20,2017,1,Winter
2018-07-28,Delhi,Dengue,17,2018,7,Summer
2018-07-23,Karnataka,Cold,12,2018,7,Summer
2017-10-19,Delhi,Headache,9,2017,10,Autumn
2017-10-26,Delhi,Headache,12,2017,10,Autumn
2018-04-02,Telangana,Diarrhea,2,2018,4,Spring
2017-07-06,Delhi,Cough,32,2017,7,Summer
2017-01-21,Delhi,Skin Rash,21,2017,1,Winter
2021-01-11,Karnataka,Cough,13,2021,1,Winter
2021-07-09,Andhra Pradesh,Skin Rash,20,2021,7,Summer
2021-07-06,Delhi,Fever,21,2021,7,Summer
2022-01-14,Karnataka,Diarrhea,6,2022,1,Winter
2021-01-24,Delhi,Fever,25,2021,1,Winter
2018-01-03,Karnataka,Fever,17,2018,1,Winter
2022-07-10,Telangana,Cold,33,2022,7,Summer
2024-04-13,Karnataka,Skin Rash,23,2024,4,Spring
2019-04-28,Telangana,Headache,17,2019,4,Spring
2020-07-28,Karnataka,Diarrhea,6,2020,7,Summer
2018-01-26,Karnataka,Diarrhea,8,2018,1,Winter
2024-01-27,Andhra Pradesh,Allergy,35,2024,1,Winter
2021-01-12,Karnataka,Cough,7,2021,1,Winter
2019-01-25,Karnataka,Headache,14,2019,1,Winter
2017-10-20,Karnataka,Fever,17,2017,10,Autumn
2024-04-03,Telangana,Fever,14,2024,4,Spring
2018-01-09,Delhi,Malaria,10,2018,1,Winter
2024-07-08,Karnataka,Headache,7,2024,7,Summer
2024-10-13,Andhra Pradesh,Cough,29,2024,10,Autumn
2022-10-09,Karnataka,Headache,2,2022,10,Autumn
2021-10-12,Delhi,Cold,14,2021,10,Autumn
2017-07-15,Andhra Pradesh,Allergy,32,2017,7,Summer
2018-07-19,Delhi,Fever,23,2018,7,Summer
2019-01-05,Telangana,Cold,33,2019,1,Winter
2021-04-23,Andhra Pradesh,Headache,29,2021,4,Spring
2018-04-09,Karnataka,Malaria,11,2018,4,Spring
2016-10-03,Telangana,Fever,17,2016,10,Autumn
2016-04-02,Karnataka,Malaria,8,2016,4,Spring
2023-04-09,Karnataka,Skin Rash,20,2023,4,Spring
2024-01-21,Andhra Pradesh,Eye Infection,21,2024,1,Winter
2023-01-27,Karnataka,Eye Infection,10,2023,1,Winter
2018-10-11,Andhra Pradesh,Allergy,32,2018,10,Autumn
2017-04-27,Telangana,Fever,17,2017,4,Spring
2020-10-04,Telangana,Fever,12,2020,10,Autumn
2016-07-18,Delhi,Cold,21,2016,7,Summer
2024-01-21,Andhra Pradesh,Allergy,30,2024,1,Winter
2022-10-16,Delhi,Cold,17,2022,10,Autumn
2021-01-25,Karnataka,Malaria,15,2021,1,Winter
2024-07-21,Delhi,Malaria,14,2024,7,Summer
2024-04-27,Telangana,Cold,27,2024,4,Spring
2016-01-27,Delhi,Diarrhea,16,2016,1,Winter
2019-01-05,Karnataka,Malaria,14,2019,1,Winter
2021-10-08,Karnataka,Allergy,25,2021,10,Autumn
2016-01-13,Delhi,Allergy,20,2016,1,Winter
2017-04-03,Delhi,Allergy,20,2017,4,Spring
2022-01-23,Telangana,Fever,18,2022,1,Winter
2020-10-13,Telangana,Allergy,27,2020,10,Autumn
2022-01-05,Delhi,Diarrhea,19,2022,1,Winter
2017-01-28,Karnataka,Cold,9,2017,1,Winter
2021-10-20,Delhi,Allergy,21,2021,10,Autumn
2019-07-23,Karnataka,Diarrhea,7,2019,7,Summer
2016-01-17,Andhra Pradesh,Cold,25,2016,1,Winter
2021-07-12,Andhra Pradesh,Dengue,24,2021,7,Summer
2024-04-23,Telangana,Fever,11,2024,4,Spring
2017-07-25,Andhra Pradesh,Diarrhea,13,2017,7,Summer
2022-01-19,Andhra Pradesh,Eye Infection,31,2022,1,Winter
2022-07-17,Andhra Pradesh,Skin Rash,23,2022,7,Summer
2021-01-15,Andhra Pradesh,Eye Infection,19,2021,1,Winter
2018-10-02,Delhi,Fever,19,2018,10,Autumn
2023-10-19,Andhra Pradesh,Dengue,17,2023,10,Autumn
2021-10-10,Karnataka,Cold,8,2021,10,Autumn
2024-04-25,Andhra Pradesh,Dengue,20,2024,4,Spring
2024-10-03,Andhra Pradesh,Skin Rash,14,2024,10,Autumn
2021-01-15,Andhra Pradesh,Dengue,30,2021,1,Winter
2023-10-27,Andhra Pradesh,Headache,26,2023,10,Autumn
2018-01-01,Karnataka,Eye Infection,8,2018,1,Winter
2021-07-15,Telangana,Cold,33,2021,7,Summer
2017-10-07,Karnataka,Skin Rash,21,2017,10,Autumn
2020-04-07,Karnataka,Malaria,12,2020,4,Spring
2024-07-24,Karnataka,Skin Rash,22,2024,7,Summer
2016-07-18,Telangana,Eye Infection,19,2016,7,Summer
2016-10-23,Karnataka,Skin Rash,19,2016,10,Autumn
2021-10-10,Andhra Pradesh,Allergy,27,2021,10,Autumn
2016-07-15,Telangana,Malaria,3,2016,7,Summer
2017-10-14,Karnataka,Malaria,9,2017,10,Autumn
2018-07-08,Andhra Pradesh,Cold,24,2018,7,Summer
2023-07-02,Delhi,Allergy,27,2023,7,Summer
2020-10-10,Andhra Pradesh,Headache,28,2020,10,Autumn
2023-01-20,Karnataka,Dengue,5,2023,1,Winter
2021-04-17,Karnataka,Cough,5,2021,4,Spring
2022-01-19,Andhra Pradesh,Cold,21,2022,1,Winter
2020-07-16,Delhi,Eye Infection,22,2020,7,Summer
2023-01-20,Karnataka,Cough,22,2023,1,Winter
2020-10-18,Delhi,Eye Infection,17,2020,10,Autumn
2017-07-02,Karnataka,Cold,6,2017,7,Summer
2019-07-03,Karnataka,Allergy,30,2019,7,Summer
2017-04-23,Delhi,Eye Infection,15,2017,4,Spring
2017-01-11,Karnataka,Cold,11,2017,1,Winter
2019-10-20,Telangana,Malaria,4,2019,10,Autumn
2024-01-23,Telangana,Dengue,27,2024,1,Winter
2022-04-04,Andhra Pradesh,Cold,16,2022,4,Spring
2021-07-05,Karnataka,Cold,15,2021,7,Summer
2016-10-13,Telangana,Headache,19,2016,10,Autumn
2022-10-03,Delhi,Cough,21,2022,10,Autumn
2024-07-18,Karnataka,Eye Infection,13,2024,7,Summer
2020-10-03,Telangana,Fever,19,2020,10,Autumn
2023-04-08,Andhra Pradesh,Cough,22,2023,4,Spring
2016-04-18,Delhi,Cold,13,2016,4,Spring
2022-01-28,Telangana,Malaria,6,2022,1,Winter
2023-10-28,Delhi,Skin Rash,7,2023,10,Autumn
2019-07-09,Karnataka,Fever,14,2019,7,Summer
2023-07-11,Delhi,Malaria,12,2023,7,Summer
2017-04-21,Karnataka,Eye Infection,11,2017,4,Spring
2022-04-12,Andhra Pradesh,Headache,26,2022,4,Spring
2017-01-12,Telangana,Malaria,13,2017,1,Winter
2018-07-06,Telangana,Headache,26,2018,7,Summer
2017-10-15,Delhi,Dengue,18,2017,10,Autumn
2017-10-26,Delhi,Eye Infection,22,2017,10,Autumn
2017-01-13,Karnataka,Diarrhea,5,2017,1,Winter
2019-04-18,Karnataka,Allergy,24,2019,4,Spring
2024-04-25,Andhra Pradesh,Malaria,22,2024,4,Spring
2016-07-21,Andhra Pradesh,Cold,24,2016,7,Summer
2023-01-20,Karnataka,Fever,23,2023,1,Winter
2018-10-07,Telangana,Headache,26,2018,10,Autumn
2021-07-18,Delhi,Dengue,22,2021,7,Summer
2017-10-27,Karnataka,Headache,10,2017,10,Autumn
2023-04-16,Karnataka,Skin Rash,17,2023,4,Spring
2022-01-13,Telangana,Cough,8,2022,1,Winter
2023-07-14,Telangana,Dengue,17,2023,7,Summer
2021-04-25,Karnataka,Headache,5,2021,4,Spring
2016-01-28,Andhra Pradesh,Diarrhea,7,2016,1,Winter
2021-10-04,Karnataka,Cold,10,2021,10,Autumn
2016-10-05,Karnataka,Diarrhea,9,2016,10,Autumn
2024-01-08,Andhra Pradesh,Cold,23,2024,1,Winter
2016-10-20,Andhra Pradesh,Cough,30,2016,10,Autumn
2022-07-09,Telangana,Skin Rash,23,2022,7,Summer
2019-10-03,Delhi,Fever,18,2019,10,Autumn
2024-07-18,Telangana,Fever,22,2024,7,Summer
2024-01-20,Telangana,Skin Rash,22,2024,1,Winter
2020-10-06,Karnataka,Eye Infection,12,2020,10,Autumn
2020-04-15,Delhi,Dengue,12,2020,4,Spring
2023-01-08,Karnataka,Diarrhea,10,2023,1,Winter
2022-07-19,Delhi,Dengue,14,2022,7,Summer
2018-10-14,Delhi,Diarrhea,15,2018,10,Autumn
2020-10-16,Telangana,Headache,23,2020,10,Autumn
2021-01-14,Telangana,Dengue,25,2021,1,Winter
2023-01-13,Andhra Pradesh,Dengue,26,2023,1,Winter
2018-04-07,Andhra Pradesh,Dengue,27,2018,4,Spring
2019-01-04,Telangana,Headache,30,2019,1,Winter
2021-10-13,Karnataka,Headache,11,2021,10,Autumn
2018-07-14,Karnataka,Skin Rash,16,2018,7,Summer
2021-07-18,Andhra Pradesh,Cold,15,2021,7,Summer
2021-04-20,Andhra Pradesh,Fever,18,2021,4,Spring
2019-01-25,Delhi,Malaria,11,2019,1,Winter
2017-07-28,Delhi,Dengue,21,2017,7,Summer
2017-01-08,Telangana,Cold,42,2017,1,Winter
2016-01-25,Andhra Pradesh,Cough,33,2016,1,Winter
2022-10-04,Andhra Pradesh,Fever,22,2022,10,Autumn
2016-04-10,Telangana,Allergy,21,2016,4,Spring
2016-10-13,Telangana,Diarrhea,11,2016,10,Autumn
2017-04-20,Andhra Pradesh,Diarrhea,13,2017,4,Spring
2019-10-09,Delhi,Cough,28,2019,10,Autumn
2020-10-05,Karnataka,Skin Rash,19,2020,10,Autumn
2016-04-09,Delhi,Malaria,10,2016,4,Spring
2024-04-11,Andhra Pradesh,Headache,23,2024,4,Spring
2017-07-13,Telangana,Malaria,8,2017,7,Summer
2024-07-14,Telangana,Skin Rash,16,2024,7,Summer
